id,date,type,title,url,keyword_context,full_length,relevant
46649844,2026-01-16T18:19:56Z,comment,,,"It's worth noting that R has a great duckdb API as well. Saved me a lot of time when dealing with a 29GB CSV file and splitting it into separate parquet files on a low RAM ONS server a few months back. <a href=""https://r.duckdb.org/"" rel=""nofo",274,1
49448754,2026-08-26T13:24:46Z,comment,,,"m pleasantly surprised. I think AWS has been a bad player in the data space and very much behind all the other warehouse providers for many years now. This could lead into interesting integrations of DuckDB on top of all the data that lives in S3 and provide a leaner, faster and a more modern alternative to Athena.",348,1
45679723,2025-10-23T08:54:43Z,story,Rusty-Sheet: An Excel/WPS/OpenDocument Spreadsheets File Reader for DuckDB,https://github.com/redraiment/rusty-sheet,,0,1
45737213,2025-10-28T18:55:38Z,comment,,,"Tendency of Linux users to have local resources that lack TLS? phpmyadmin, netdata, duckdb ui, git-webui, whatever.",115,0
47968129,2026-04-30T20:56:58Z,comment,,,"Anyone tried both duckdb and clickhouse local? Clickhouse seems less marketed, but seems quite similar.",103,1
46055262,2025-11-26T08:13:33Z,story,"Branch, Test, Deploy: A Git-Inspired Approach for Data",https://motherduck.com/blog/git-for-data-part-1/,,0,1
49354402,2026-08-18T23:30:38Z,comment,,,"SQL is a terrible api for data transformation. <a href=""https://duckdb.org/docs/lts/sql/statements/pivot#limitations"" rel=""nofollow"">https://duckdb.org/docs/lts/sql/statements/pivot#limitations</a> vs <a href=""https://docs.pola.rs/api/python/stable/reference/dataframe/a",384,1
45822676,2025-11-05T13:36:31Z,comment,,,"I guess my confusion is that there already are ways to query this data with DuckDB or something like that. So is the magic here that it’s Postgres? What makes being able to query something in Postgres special? And when we say it’s now queryable by Postgres, does this mean that it t",399,1
45633623,2025-10-19T12:07:40Z,comment,,,"Really excited about the future of DuckDB: 1. DuckLake is the best datalake spec and their team is improving on the extension rapidly. 2. With DuckDB WASM, you can make apps that would normally have 2 to 3 second latency for network calls wo",529,1
46604166,2026-01-13T17:19:04Z,story,Show HN: Fabi 2.0 – An AI analyst that connects to all your data sources,,"s. A bit about what’s going on under the hood: - We use Fivetran to connects to data sources (we tested at a number of different ETL solutions and Fivetran really stood out) - We pipe the data into a MotherDuck instance for each customer - We index data and metadata and store in our vector DB to get it ready for the AI. A lot of connectors just work without any further modeling, but some do require a bit of",1729,1
47626163,2026-04-03T12:57:14Z,comment,,,CapRover for self hosted PaaS Dozzle for self hosted logs DuckDB was a life savior for some data analysis I needed to do Rollbar for app error alerting - v generous free tier,174,0
47869108,2026-04-22T20:47:34Z,comment,,,"Along with parsing various file formats, you can create duckdb files to store tables, and make related views, schema, etc. They also have a newer ducklake tool",159,1
49448759,2026-08-26T13:25:13Z,comment,,,"What's the relationship between MotherDuck (<a href=""https://motherduck.com"" rel=""nofollow"">https://motherduck.com</a>) and DuckLabs?",133,1
45775880,2025-10-31T19:39:52Z,comment,,,"mpatible with no egress fees. Cloudflare actually has built in iceberg support for R2 buckets. It's quite nice. Combine that with their pipelines it's a simple http request to ingest, then just point duckdb to the iceberg enabled R2 bucket to analyze.",262,1
45836837,2025-11-06T16:18:47Z,comment,,,"Even in this thread people underestimate how good e.g. DuckDB can be if you swallow its quirks. Yeah SQL has many problems, but with a slightly extended language with QoL features and seamless parallelism DuckDB is extremely productive if you want to crunch bun",568,1
47762217,2026-04-14T07:03:52Z,comment,,,"I have a deep appreciation for DuckDB, but I am afraid the confluence of brilliant ideas makes it ever more complicated to adopt —- and DuckLake is another example for this trend. When I look at SQLite I see a clear message: a database i",558,1
49333698,2026-08-17T16:29:28Z,comment,,,I don't think DuckDB itself can coordinate work across multiple nodes. But you could put it behind an HTTP layer and scale horizontally based on resource utilization?,166,1
47765738,2026-04-14T13:57:25Z,comment,,,"Yes, this is actually one of the core problems OpenDuck's architecture addresses. The short version: OpenDuck interposes a differential storage layer between DuckDB and the underlying file. DuckDB still sees a normal file (via FUSE on Linux or an in-process FileSystem on any platform), but underneath, writes go to append-only layers and reads are resolved by ove",1635,1
45851647,2025-11-07T21:58:56Z,comment,,,"t workflow so funds go from lead → memo fast. Series A (Oct ’25), $12M raised; team of 7, fully in-office (Midtown Manhattan). Stack: TypeScript/Node, React/Next.js, Redis, Temporal, Python, Dagster, DuckDB, modern cloud. Benefits: Health/dental/vision, 401k (3% automatic), paid lunches, wellness + Citi Bike. Apply: <a href=""https://jobs.gem.com/raylu-ai"" rel=""nofollow"">https://jobs.gem.com/raylu-ai</a>",809,0
48013600,2026-05-04T19:17:45Z,comment,,,"Remote | Berlin until end of May, then Atlantic Canada (UTC-3) Location: Berlin (DE) → Atlantic Canada in June Remote: Yes (remote only) Willing to relocate: No Technologies: Python, PyTorch, mlx-lm, DuckDB, FastAPI, Rust, SQL, Spark, Databricks, Prefect, Terraform/Pulumi, Azure, GCP Résumé/CV: <a href=""http://linkedin.com/in/tomislav-grbe%C5%A1i%C4%87-388442328/"" rel=""nofollow"">http://linkedin.com/in/t",912,0
47427811,2026-03-18T16:29:46Z,comment,,,Ive used it but definitely ran into issues where Ibis couldnt handle a transformation and had to move back into Polars or DuckDB to do. I just eventually stripped it out.,170,1
49401702,2026-08-22T17:19:02Z,comment,,,I have and the suggestion was received positively. Thanks for the suggestion to do that. DuckDB rocks!,102,0
48992560,2026-07-21T14:07:25Z,story,Show HN: Explore Trends in HN posts. ETL using Embeddings/KMeans/DuckDB,https://github.com/el10savio/hnTrends,,0,1
48505848,2026-06-12T16:03:39Z,comment,,,"<a href=""https://duckdb.org/docs/lts/sql/dialect/friendly_sql"" rel=""nofollow"">https://duckdb.org/docs/lts/sql/dialect/friendly_sql</a>",134,1
49458216,2026-08-27T01:18:07Z,comment,,,Isn't it a name clashing with DuckLabs who made DuckDB?,55,1
47130026,2026-02-23T22:39:38Z,story,Show HN: The fastest OLAP engine for React Native,https://github.com/pranshuchittora/react-native-duckdb,,0,1
